DateId,Year,Quarter,Month,MonthName,Day,DayOfWeek,DayName
2015-01-01,2015,1,1,January,1,4,Thursday
2015-01-02,2015,1,1,January,2,5,Friday
2015-01-03,2015,1,1,January,3,6,Saturday
2015-01-04,2015,1,1,January,4,7,Sunday
2015-01-05,2015,1,1,January,5,1,Monday
2015-01-06,2015,1,1,January,6,2,Tuesday
2015-01-07,2015,1,1,January,7,3,Wednesday
2015-01-08,2015,1,1,January,8,4,Thursday
2015-01-09,2015,1,1,January,9,5,Friday
2015-01-10,2015,1,1,January,10,6,Saturday
2015-01-11,2015,1,1,January,11,7,Sunday
2015-01-12,2015,1,1,January,12,1,Monday
2015-01-13,2015,1,1,January,13,2,Tuesday
2015-01-14,2015,1,1,January,14,3,Wednesday
2015-01-15,2015,1,1,January,15,4,Thursday
2015-01-16,2015,1,1,January,16,5,Friday
2015-01-17,2015,1,1,January,17,6,Saturday
2015-01-18,2015,1,1,January,18,7,Sunday
2015-01-19,2015,1,1,January,19,1,Monday
2015-01-20,2015,1,1,January,20,2,Tuesday
2015-01-21,2015,1,1,January,21,3,Wednesday
2015-01-22,2015,1,1,January,22,4,Thursday
2015-01-23,2015,1,1,January,23,5,Friday
2015-01-24,2015,1,1,January,24,6,Saturday
2015-01-25,2015,1,1,January,25,7,Sunday
2015-01-26,2015,1,1,January,26,1,Monday
2015-01-27,2015,1,1,January,27,2,Tuesday
2015-01-28,2015,1,1,January,28,3,Wednesday
2015-01-29,2015,1,1,January,29,4,Thursday
2015-01-30,2015,1,1,January,30,5,Friday
2015-01-31,2015,1,1,January,31,6,Saturday
2015-02-01,2015,1,2,February,1,7,Sunday
2015-02-02,2015,1,2,February,2,1,Monday
2015-02-03,2015,1,2,February,3,2,Tuesday
2015-02-04,2015,1,2,February,4,3,Wednesday
2015-02-05,2015,1,2,February,5,4,Thursday
2015-02-06,2015,1,2,February,6,5,Friday
2015-02-07,2015,1,2,February,7,6,Saturday
2015-02-08,2015,1,2,February,8,7,Sunday
2015-02-09,2015,1,2,February,9,1,Monday
2015-02-10,2015,1,2,February,10,2,Tuesday
2015-02-11,2015,1,2,February,11,3,Wednesday
2015-02-12,2015,1,2,February,12,4,Thursday
2015-02-13,2015,1,2,February,13,5,Friday
2015-02-14,2015,1,2,February,14,6,Saturday
2015-02-15,2015,1,2,February,15,7,Sunday
2015-02-16,2015,1,2,February,16,1,Monday
2015-02-17,2015,1,2,February,17,2,Tuesday
2015-02-18,2015,1,2,February,18,3,Wednesday
2015-02-19,2015,1,2,February,19,4,Thursday
2015-02-20,2015,1,2,February,20,5,Friday
2015-02-21,2015,1,2,February,21,6,Saturday
2015-02-22,2015,1,2,February,22,7,Sunday
2015-02-23,2015,1,2,February,23,1,Monday
2015-02-24,2015,1,2,February,24,2,Tuesday
2015-02-25,2015,1,2,February,25,3,Wednesday
2015-02-26,2015,1,2,February,26,4,Thursday
2015-02-27,2015,1,2,February,27,5,Friday
2015-02-28,2015,1,2,February,28,6,Saturday
2015-03-01,2015,1,3,March,1,7,Sunday
2015-03-02,2015,1,3,March,2,1,Monday
2015-03-03,2015,1,3,March,3,2,Tuesday
2015-03-04,2015,1,3,March,4,3,Wednesday
2015-03-05,2015,1,3,March,5,4,Thursday
2015-03-06,2015,1,3,March,6,5,Friday
2015-03-07,2015,1,3,March,7,6,Saturday
2015-03-08,2015,1,3,March,8,7,Sunday
2015-03-09,2015,1,3,March,9,1,Monday
2015-03-10,2015,1,3,March,10,2,Tuesday
2015-03-11,2015,1,3,March,11,3,Wednesday
2015-03-12,2015,1,3,March,12,4,Thursday
2015-03-13,2015,1,3,March,13,5,Friday
2015-03-14,2015,1,3,March,14,6,Saturday
2015-03-15,2015,1,3,March,15,7,Sunday
2015-03-16,2015,1,3,March,16,1,Monday
2015-03-17,2015,1,3,March,17,2,Tuesday
2015-03-18,2015,1,3,March,18,3,Wednesday
2015-03-19,2015,1,3,March,19,4,Thursday
2015-03-20,2015,1,3,March,20,5,Friday
2015-03-21,2015,1,3,March,21,6,Saturday
2015-03-22,2015,1,3,March,22,7,Sunday
