DepartmentName,Market
Fitness,Pacific Asia
Apparel,Pacific Asia
Golf,Pacific Asia
Footwear,USCA
Apparel,USCA
Footwear,Africa
Golf,Africa
Outdoors,Africa
Footwear,Europe
Apparel,Europe
Golf,Europe
Outdoors,Europe
Footwear,LATAM
Apparel,LATAM
Golf,LATAM
Outdoors,LATAM
Fan Shop,LATAM
Fitness,LATAM
Apparel,Africa
Fan Shop,Africa
Technology,Europe
Fitness,Europe
Golf,USCA
Outdoors,USCA
Fitness,Africa
Footwear,Pacific Asia
Outdoors,Pacific Asia
Fitness,USCA
Fan Shop,Europe
Book Shop,Europe
Discs Shop,Europe
Fan Shop,Pacific Asia
Technology,Pacific Asia
Pet Shop,Pacific Asia
Health and Beauty ,Pacific Asia
Discs Shop,Pacific Asia
Fan Shop,USCA
Book Shop,Pacific Asia
